npi,org_pac_id,org_name,tier,endpoint,vendor,evidence
1093452062,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093493678,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093496101,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093709552,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093722308,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093783383,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093786923,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093793655,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093797821,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093829939,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093938367,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093946824,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104042142,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104068105,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104081223,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104182948,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104252204,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104386184,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104386713,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104455104,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104804343,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1104863489,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
